sku,barcode,name,category_main,category_sub,cost,price_retail,price_credit,unit,source,date_bought
,8851907273248,มาสเตอร์อาร์ต ดินสอสี 2 หัว 48 สี,,, 95.00 , 140.00 , 145.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907273255,มาสเตอร์อาร์ต ดินสอสี 2 หัว 60 สี,,, 115.00 , 135.00 , 140.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907273194,มาสเตอร์อาร์ต ดินสอสี 60 สี,,, 215.00 , 275.00 , 280.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907273200,มาสเตอร์อาร์ต ดินสอสี 72 สี,,, 276.00 , 360.00 , 365.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907216481,มาสเตอร์อาร์ต สีชอล์คน้ำมัน Master series 16,,, 35.00 , 60.00 , 60.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907109868,มาสเตอร์อาร์ต สีเทียน 12 สี กลาง,,, 9.83 , 20.00 , 20.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907075057,มาสเตอร์อาร์ต สีเทียน จัมโบ้ P12 x 12.00,,, 18.75 , 25.00 , 25.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907077341,มาสเตอร์อาร์ต สีน้ำ ก้อน 12 สี x 12.00,,, 24.00 , 55.00 , 55.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907160050,มาสเตอร์อาร์ต สีน้ำ เทมพาร่า 5 มล.,,, 31.67 , 50.00 , 50.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907315979,มาสเตอร์อาร์ต สีโปสเตอร์ 6 สี 12 มล. พลาสติก,,, 54.00 , 70.00 , 75.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907273187,มาสเตอร์อาร์ต สีไม้แท่งยาว 48 สี,,, 162.00 , 212.00 , 230.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907273149,มาสเตอร์อาร์ต สีไม้แท่งสั้น 12 สี,,, 20.42 , 30.00 , 32.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851552628066,มีดตัดเตอร์ Horse H-101-105 แผง โหล,,, 7.25 , 25.00 , 25.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8851552623610,มีดเหลาดินสอตราม้า x36 ด้ามพลาสติก,,, 1.94 , 3.00 , 3.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201013167,ไม้บรรทัด PVC 12 นิ้ว ใส,,, 1.83 , 4.00 , 4.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201011217,ไม้บรรทัด PVC แข็ง คาดสีสะท้อน #PC-30C,,, 3.58 , 5.00 , 6.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201011231,ไม้บรรทัด PVC แข็ง ลายการ์ตูน #PC-30D,,, 3.75 , 6.00 , 6.00 ,อัน,อ.อัษฎางค์,22 March 2568
,90019951,"ไม้บรรทัดเทมเพลสต์ 25213, 01297",,, 4.83 , 12.00 , 12.00 ,อัน,อ.อัษฎางค์,22 March 2568
